,ad_id,ad_url,0,text
355,CR482192233110437888,https://transparencyreport.google.com/political-ads/library/advertiser/AR285579453617143808/creative/CR482192233110437888,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR285579453617143808&creative_id=CR482192233110437888&hl=en,"""Fighting to Stop the Chinese Communist Party from buying property in America"",""Donate now to help Congressman Chip Roy keep America Safe."
356,CR352299502817771520,https://transparencyreport.google.com/political-ads/library/advertiser/AR393003423278039040/creative/CR352299502817771520,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR393003423278039040&creative_id=CR352299502817771520&hl=en,"""Calling All Patriots. Sacramento Needs An Honest Leader With A Clear Vision. Donate Now!"",""Here Is Your Chance! Every Dollar Counts To Get Rid Of Newsom. Chip In $10."
357,CR528041043354976256,https://transparencyreport.google.com/political-ads/library/advertiser/AR393003423278039040/creative/CR528041043354976256,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR393003423278039040&creative_id=CR528041043354976256&hl=en,"""Californians Deserve Leadership Who Is Accountable To Them. Caitlyn Will Be. Chip In Now."",""Caitlyn Will Fight For You! She Is An Outsider And A Proven Winner. Donate Now."
358,CR259279169840480256,https://transparencyreport.google.com/political-ads/library/advertiser/AR465982957815857152/creative/CR259279169840480256,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR465982957815857152&creative_id=CR259279169840480256&hl=en,"""Texas's 6th Congressional District"
359,CR364262189327974400,https://transparencyreport.google.com/political-ads/library/advertiser/AR393003423278039040/creative/CR364262189327974400,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR393003423278039040&creative_id=CR364262189327974400&hl=en,"""Newsom Recall Is Official! Caitlyn Can Fix California. Donate Now."",""Did You See The News? Gavin Newsom Will Be Recalled! Caitlyn Can Fix CA. Chip In $5."
360,CR228584653483671552,https://transparencyreport.google.com/political-ads/library/advertiser/AR157291735423123456/creative/CR228584653483671552,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR157291735423123456&creative_id=CR228584653483671552&hl=en,"""The stakes are too high to sit this election out"",""Stop the dangerous Socialist agenda! Vote Saturday, May 1st"
361,CR21836678884753408,https://transparencyreport.google.com/political-ads/library/advertiser/AR485003753062137856/creative/CR21836678884753408,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR485003753062137856&creative_id=CR21836678884753408&hl=en,"""Don’t be Left Behind. Support a True Conservative."
362,CR279058284512542720,https://transparencyreport.google.com/political-ads/library/advertiser/AR532605081762136064/creative/CR279058284512542720,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR532605081762136064&creative_id=CR279058284512542720&hl=en,"""Senator Cornyn Is Helping His Senate GOP Colleagues Take Back The Senate In 2022"",""It's Never Too Early To Join The Fight. Chip In $20 Now. Help Save The Senate."
363,CR51221195856543744,https://transparencyreport.google.com/political-ads/library/advertiser/AR267112502993616896/creative/CR51221195856543744,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR267112502993616896&creative_id=CR51221195856543744&hl=en,"""President Biden is ready to make investments in securing the border."",""Republicans are playing games, obstructing progress. Tell them: work with President Biden."
364,CR325251516774481920,https://transparencyreport.google.com/political-ads/library/advertiser/AR393003423278039040/creative/CR325251516774481920,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR393003423278039040&creative_id=CR325251516774481920&hl=en,"""Donate To The Official Caitlyn For California Site Today. Help Take Back California!"",""Caitlyn Puts The People Of California First! California Deserves Caitlyn For Governor!"
365,CR495807897914048512,https://transparencyreport.google.com/political-ads/library/advertiser/AR326078486957522944/creative/CR495807897914048512,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR326078486957522944&creative_id=CR495807897914048512&hl=en,"""Conservative Republican John Wray for State Representative."",""Special Runoff Election."
366,CR87531467852218368,https://transparencyreport.google.com/political-ads/library/advertiser/AR267112502993616896/creative/CR87531467852218368,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR267112502993616896&creative_id=CR87531467852218368&hl=en,"""President Biden's border plan keeps families together while fighting drug trafficking."",""Republicans are playing games, obstructing progress. Tell them: work with President Biden."
367,CR284391877979930624,https://transparencyreport.google.com/political-ads/library/advertiser/AR267112502993616896/creative/CR284391877979930624,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR267112502993616896&creative_id=CR284391877979930624&hl=en,"""The situation at the border has been politicized by Republicans without solutions."",""President Biden has a plan to invest in our security and reunify families."
368,CR33106879227887616,https://transparencyreport.google.com/political-ads/library/advertiser/AR393003423278039040/creative/CR33106879227887616,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR393003423278039040&creative_id=CR33106879227887616&hl=en,"""CA Has Had Enough Of Newsom. Caitlyn Can Take Back Our State. Donate Now."",""Help Take Back California. Newsom Is A Disaster! Donate To Make CA Red."
369,CR483563392829751296,https://transparencyreport.google.com/political-ads/library/advertiser/AR551474384921952256/creative/CR483563392829751296,https://transparencyreport.google.com/transparencyreport/api/v3/politicalads/creatives/details?entity_id=AR551474384921952256&creative_id=CR483563392829751296&hl=en,"""Mike Collier is running for Lieutenant Governor to defeat Dan Patrick and fight for Texas"
